date,open,high,low,close,volume
2021-09-01,"33,550","34,200","33,450","33,950","270,034"
2021-08-31,"33,900","33,950","33,150","33,350","343,731"
2021-08-30,"32,950","34,050","32,900","33,850","491,891"
2021-08-27,"32,550","32,900","32,000","32,700","281,091"
2021-08-26,"32,450","33,150","32,250","32,650","238,905"
2021-08-25,"32,750","32,800","32,050","32,450","211,940"
2021-08-24,"30,900","32,900","30,900","32,300","533,470"
2021-08-23,"30,500","30,850","30,150","30,500","220,796"
2021-08-20,"30,800","31,150","30,350","30,350","375,704"
2021-08-19,"31,500","31,800","30,700","30,850","396,906"
2021-08-18,"31,400","32,300","31,350","31,900","258,394"
2021-08-17,"32,650","32,750","31,550","31,600","565,939"
2021-08-13,"33,400","33,600","32,800","32,950","309,341"
2021-08-12,"33,700","33,850","33,450","33,550","228,110"
2021-08-11,"33,600","33,900","33,450","33,550","239,825"
2021-08-10,"34,250","34,250","33,650","33,750","352,868"
2021-08-09,"34,550","34,550","34,100","34,250","201,800"
2021-08-06,"34,850","34,850","34,400","34,550","213,438"
2021-08-05,"34,500","34,950","34,350","34,600","341,186"
2021-08-04,"33,850","34,400","33,850","34,300","301,624"
2021-08-03,"34,000","34,000","33,600","33,750","278,642"
2021-08-02,"34,400","34,450","33,900","34,000","251,434"
2021-07-30,"34,550","34,550","34,050","34,450","268,791"
2021-07-29,"34,650","34,950","34,350","34,500","238,588"
2021-07-28,"34,400","34,750","34,200","34,450","221,453"
2021-07-27,"34,600","34,700","34,500","34,550","171,198"
2021-07-26,"34,900","34,950","34,500","34,500","231,520"
2021-07-23,"35,250","35,250","34,900","34,900","223,920"
2021-07-22,"35,250","35,350","35,150","35,250","268,136"
2021-07-21,"35,050","35,150","34,800","35,150","234,637"
2021-07-20,"34,700","35,000","34,650","34,900","398,551"
2021-07-19,"35,400","35,500","35,050","35,200","248,112"
2021-07-16,"35,650","35,900","35,300","35,450","414,865"
2021-07-15,"35,450","35,900","35,400","35,650","419,063"
2021-07-14,"35,150","35,500","34,850","35,250","392,191"
2021-07-13,"35,300","35,450","34,950","35,100","406,271"
2021-07-12,"34,650","35,300","34,650","34,900","381,886"
2021-07-09,"34,900","35,150","34,300","34,500","704,400"
2021-07-08,"35,800","36,100","35,300","35,500","508,687"
2021-07-07,"36,300","36,350","35,800","35,950","833,674"
2021-07-06,"36,500","36,950","36,500","36,850","477,695"
2021-07-05,"36,650","36,650","36,250","36,500","607,364"
2021-07-02,"36,900","37,100","36,450","36,750","389,230"
2021-07-01,"37,600","37,600","36,600","36,850","668,318"
2021-06-30,"38,050","38,050","37,600","37,700","433,924"
2021-06-29,"38,150","38,200","37,700","37,700","287,389"
2021-06-28,"37,800","38,000","37,500","37,850","283,112"
2021-06-25,"37,600","37,950","37,350","37,800","311,285"
2021-06-24,"37,700","37,750","37,000","37,600","538,683"
2021-06-23,"39,000","39,050","37,350","37,650","894,915"
2021-06-22,"39,000","39,350","38,500","38,900","404,566"
2021-06-21,"39,800","39,850","38,650","38,800","674,612"
2021-06-18,"40,100","40,250","39,500","39,550","413,169"
2021-06-17,"39,650","40,000","39,200","39,950","378,159"
2021-06-16,"39,100","39,750","38,950","39,650","376,119"
2021-06-15,"39,100","39,300","38,550","38,950","510,402"
2021-06-14,"40,000","40,300","39,100","39,150","678,649"
2021-06-11,"40,600","40,750","39,750","39,900","711,610"
2021-06-10,"39,500","40,450","39,500","39,700","664,298"
2021-06-09,"39,900","40,000","39,450","39,600","418,865"
2021-06-08,"39,650","40,050","39,500","39,700","372,872"
2021-06-07,"39,200","39,700","38,350","39,650","667,294"
2021-06-04,"39,800","39,950","39,100","39,200","840,596"
2021-06-03,"40,300","40,600","39,700","39,900","701,440"
2021-06-02,"39,900","40,500","39,600","40,100","843,333"
2021-06-01,"39,700","40,000","39,050","39,600","803,872"
2021-05-31,"38,200","39,650","37,850","39,600","1,466,409"
2021-05-28,"38,550","38,550","37,700","37,850","607,115"
2021-05-27,"38,200","38,650","37,800","38,300","1,032,084"
2021-05-26,"36,750","38,350","36,600","38,150","2,009,431"
2021-05-25,"36,050","36,600","35,850","36,600","448,053"
2021-05-24,"36,000","36,050","35,500","35,950","250,125"
2021-05-21,"36,550","36,700","35,800","36,100","346,381"
2021-05-20,"36,250","36,550","35,800","36,450","324,436"
2021-05-18,"36,650","36,900","36,250","36,250","531,928"
2021-05-17,"35,750","36,550","35,400","36,300","948,590"
2021-05-14,"35,450","37,700","34,700","35,700","1,055,675"
2021-05-13,"34,250","35,800","34,200","35,350","521,380"
2021-05-12,"36,100","36,300","34,750","35,000","617,603"
2021-05-11,"35,750","36,200","35,450","36,100","479,184"
2021-05-10,"35,200","35,950","35,100","35,950","586,319"
2021-05-07,"34,500","35,300","34,350","35,100","347,923"
2021-05-06,"34,400","34,750","34,150","34,450","285,020"
2021-05-04,"34,650","34,700","33,550","34,400","451,151"
